epoch,acc,loss
286,0.998,0.009789269831962884
287,0.998,0.005230088060023263
288,0.998,0.006132899174001068
289,0.998,0.004522587320068851
290,1.0,0.003108678727876395
291,0.998,0.008900015643623192
292,0.996,0.014533805860904976
293,0.996,0.007209735455457121
294,0.998,0.007240160022396594
295,0.998,0.005097248961217701
296,0.998,0.005625190826598555
297,0.998,0.0076365809531416745
298,1.0,0.0037214343045634452
299,0.998,0.007154554799082689
300,1.0,0.0010596762789573404
301,1.0,0.002268410454154946
302,0.994,0.01677490313560702
303,0.992,0.030806057065725326
304,0.996,0.02000607585720718
305,0.998,0.008392322386614979
306,0.996,0.008820007255300879
307,0.974,0.07824731765687466
308,0.968,0.07261168846487999
309,0.966,0.1455289191007614
310,0.99,0.08521238316595554
311,0.938,0.23650544214248656
312,0.882,0.38278092455863955
313,0.95,0.15135043054819108
314,0.962,0.12882870054244996
315,0.972,0.10799243080615997
316,0.982,0.06322162556648254
317,0.958,0.1884015040397644
318,0.962,0.10922632253170013
319,0.992,0.04751190385222435
320,0.988,0.041596923530101776
321,0.998,0.013588353369385004
322,1.0,0.008092917336151004
323,0.998,0.009452502859756351
324,0.998,0.008223976105451584
325,0.998,0.010227505484595894
326,0.996,0.009900130392052233
327,1.0,0.005213216040283441
328,0.998,0.005849456335417926
329,1.0,0.0023602815110934897
330,0.998,0.003837630271911621
331,0.996,0.006692531704204157
332,0.996,0.007635550018399954
333,0.996,0.008958742985501885
334,0.992,0.01880894807912409
335,0.992,0.023638427809812127
336,0.998,0.007243529354222119
337,1.0,0.004303949622437358
338,1.0,0.002983397784177214
339,0.998,0.0027273347999434918
340,1.0,0.0017309342725202442
341,1.0,0.002296451817266643
342,1.0,0.002197880074381828
343,1.0,0.001608922860265011
344,1.0,0.001795505576650612
